                u_acraft_obrate,AIRCRAFT: Zonal wind,(m/s)
                v_acraft_obrate,AIRCRAFT: Meridional wind,(m/s)
                u_prof_obrate,PROFILER: Zonal wind,(m/s)
                v_prof_obrate,PROFILER: Meridional wind,(m/s)
                u_scat_obrate,SCATTEROMETER: Zonal wind,(m/s)
                v_scat_obrate,SCATTEROMETER: Meridional wind,(m/s)
                w_ssmi_obrate,SSMI: Wind speed,[m/s)
                u_amv_obrate,ATMOS MOTION VECTORS: Zonal wind,(m/s)
                v_amv_obrate,ATMOS MOTION VECTORS: Meridional wind,(m/s)
                sst_sea_obrate,SEA SURFACE: Sea surface temperature,(K)
                tv_sea_obrate,SEA SURFACE: Virtual temperature,(K)
                ps_sea_obrate,SEA SURFACE: Surface pressure,(hPA)
                u_sea_obrate,SEA SURFACE: Zonal wind,(m/s)
                v_sea_obrate,SEA SURFACE: Meridional wind,(m/s)
                qv_sea_obrate,SEA SURFACE: Specific humidity,(g/kg)
                ps_land_obrate,LAND SURFACE: Surface pressure,(hPA)
                ps_paob_obrate,PAOB SURFACE: Synthetic surface pressure,(hPA)
                tv_drift_obrate,Drifting Buoy: Virtual Temperature,(K)
                tv_mls_obrate,MLS:           Virtual Temperature,(K)
                u_drift_obrate,Drifting Buoy: Zonal wind,(m/s)
                v_drift_obrate,Drifting Buoy: Meridional wind,(m/s)
                ps_drift_obrate,Drifting Buoy: Surface Pressure,(hPa)
                bang_gps_obrate,GPSRO Bending Angle,(degree)

