ssmi_f11,MERRA-2 Hourly Monthly Gridded Innovations and Observation SSMI_F11,M2_HOURLY_SSMI_F11,10.5067/MEASURES/MERRA2_HOURLY_SSMI_F11
ssmi_f13,MERRA-2 Hourly Monthly Gridded Innovations and Observation SSMI_F13,M2_HOURLY_SSMI_F13,10.5067/MEASURES/MERRA2_HOURLY_SSMI_F13
ssmi_f14,MERRA-2 Hourly Monthly Gridded Innovations and Observation SSMI_F14,M2_HOURLY_SSMI_F14,10.5067/MEASURES/MERRA2_HOURLY_SSMI_F14
ssmi_f15,MERRA-2 Hourly Monthly Gridded Innovations and Observation SSMI_F15,M2_HOURLY_SSMI_F15,10.5067/MEASURES/MERRA2_HOURLY_SSMI_F15
ssu_n06,MERRA-2 Hourly Monthly Gridded Innovations and Observation SSU_N06,M2_HOURLY_SSU_N06,10.5067/MEASURES/MERRA2_HOURLY_SSU_N06
ssu_n07,MERRA-2 Hourly Monthly Gridded Innovations and Observation SSU_N07,M2_HOURLY_SSU_N07,10.5067/MEASURES/MERRA2_HOURLY_SSU_N07
ssu_n08,MERRA-2 Hourly Monthly Gridded Innovations and Observation SSU_N08,M2_HOURLY_SSU_N08,10.5067/MEASURES/MERRA2_HOURLY_SSU_N08
ssu_n09,MERRA-2 Hourly Monthly Gridded Innovations and Observation SSU_N09,M2_HOURLY_SSU_N09,10.5067/MEASURES/MERRA2_HOURLY_SSU_N09
ssu_n11,MERRA-2 Hourly Monthly Gridded Innovations and Observation SSU_N11,M2_HOURLY_SSU_N11,10.5067/MEASURES/MERRA2_HOURLY_SSU_N11
ssu_n14,MERRA-2 Hourly Monthly Gridded Innovations and Observation SSU_N14,M2_HOURLY_SSU_N14,10.5067/MEASURES/MERRA2_HOURLY_SSU_N14
ssu_tirosn,MERRA-2 Hourly Monthly Gridded Innovations and Observation SSU_TIROSN,M2_HOURLY_SSU_TIROSN,10.5067/MEASURES/MERRA2_HOURLY_SSU_TIROSN
conv,MERRA-2 Hourly Gridded Innovations and Observation - Conventional,M2_HOURLY_CONV,10.5067/MEASURES/MERRA2_HOURLY_CONV
mls55_aura,MERRA-2 Hourly Gridded Innovations and Observation - mls55_aura,M2_HOURLY_HOURLY_MLS55_AURA,10.5067/MEASURES/MERRA2_HOURLY_MLS55_AURA
omieff_aura,MERRA-2 Hourly Gridded Innovations and Observation - omieff_aura ,M2_HOURLY_HOURLY_OMIEFF_AURA,10.5067/MEASURES/MERRA2_HOURLY_OMIEFF_AURA
pcp_ssmi_dmsp08,MERRA-2 Hourly Gridded Innovations and Observation - pcp_ssmi_dmsp08,M2_HOURLY_PCP_SSMI_DMSP08,10.5067/MEASURES/MERRA2_HOURLY_PCP_SSMI_DMSP08
pcp_ssmi_dmsp10,MERRA-2 Hourly Gridded Innovations and Observation - pcp_ssmi_dmsp10,M2_HOURLY_PCP_SSMI_DMSP10,10.5067/MEASURES/MERRA2_HOURLY_PCP_SSMI_DMSP10
pcp_ssmi_dmsp11,MERRA-2 Hourly Gridded Innovations and Observation - pcp_ssmi_dmsp11,M2_HOURLY_PCP_SSMI_DMSP11,10.5067/MEASURES/MERRA2_HOURLY_PCP_SSMI_DMSP11
pcp_ssmi_dmsp13,MERRA-2 Hourly Gridded Innovations and Observation - pcp_ssmi_dmsp13,M2_HOURLY_PCP_SSMI_DMSP13,10.5067/MEASURES/MERRA2_HOURLY_PCP_SSMI_DMSP13
pcp_ssmi_dmsp14,MERRA-2 Hourly Gridded Innovations and Observation - pcp_ssmi_dmsp14,M2_HOURLY_PCP_SSMI_DMSP14,10.5067/MEASURES/MERRA2_HOURLY_PCP_SSMI_DMSP14
pcp_tmi_trmm_lnd,MERRA-2 Hourly Gridded Innovations and Observation - pcp_tmi_trmm_lnd,M2_HOURLY_PCP_TMI_TRMM_LND,10.5067/MEASURES/MERRA2_HOURLY_PCP_TMI_TRMM_LND
pcp_tmi_trmm_ocn,MERRA-2 Hourly Gridded Innovations and Observation - pcp_tmi_trmm_ocn,M2_HOURLY_PCP_TMI_TRMM_OCN,10.5067/MEASURES/MERRA2_HOURLY_PCP_TMI_TRMM_OCN
sbuv2_n11,MERRA-2 Hourly Gridded Innovations and Observation - sbuv2_n11,M2_HOURLY_SBUV2_N11,10.5067/MEASURES/MERRA2_HOURLY_SBUV2_N11
sbuv2_n14,MERRA-2 Hourly Gridded Innovations and Observation - sbuv2_n14,M2_HOURLY_SBUV2_N14,10.5067/MEASURES/MERRA2_HOURLY_SBUV2_N14
sbuv2_n16,MERRA-2 Hourly Gridded Innovations and Observation - sbuv2_n16,M2_HOURLY_SBUV2_N16,10.5067/MEASURES/MERRA2_HOURLY_CONV_SBUV2_N16
sbuv2_n17,MERRA-2 Hourly Gridded Innovations and Observation - sbuv2_n17,M2_HOURLY_SBUV2_N17,10.5067/MEASURES/MERRA2_HOURLY_SBUV2_N17
